id,title,slug,Site,current-start_year,current-end_year,ideal-start_year,ideal-end_year,start_year-check,end_year-check,amida_action
590,PEFA,PEFA,gv,2005,2015,2005,2016,True,False,[Gov dataset - For Luis' action] Not updated (end date only)
50,Logistics Performance Index,logistics_performance_index,tc,2007,2016,2007,2016,True,True,Updated. No action required.
147,Public Investment Management,PIM,gv,2010,2010,1987,2016,False,False,[Gov dataset - For Luis' action] Not updated (both start and end dates)
483,Human Resource Management,HRM,gv,2009,2009,1987,2016,False,False,[Gov dataset - For Luis' action] Not updated (both start and end dates)
512,UNCTAD Cyberlaw Tracker,UNCTAD Cyberlaw Tracker,tc,2016,2016,2016,2016,True,True,Updated. No action required.
479,Pay and Employment,PAY_EMP,gv,1990,2008,1987,2016,False,False,[Gov dataset - For Luis' action] Not updated (both start and end dates)
44,I-TIP Goods,itip_goods,tc,1990,2016,2005,2016,True,True,Updated. No action required.
44,I-TIP Goods,itip_goods,tc,1990,2016,2005,2016,True,True,Updated. No action required.
46,OECD Innovation Indicators,innovation_indicators,tc,1919,2016,2013,2015,True,True,Updated. No action required.
45,ESCAP,escap,tc,1995,2014,1995,2015,True,False,Not updated (end date only)
71,WEF GCI Most Problematic Factors,most_problematic_factors,tc,2008,2016,2007,2016,False,True,Not updated (start date only)
47,Investing Across Borders,investing_across_borders,tc,2012,2012,2010,2012,False,True,Not updated (start date only)
58,Global Entrepreneurship Monitor National Expert Survey,national_expert_survey,tc,2007,2016,2007,2016,True,True,Updated. No action required.
77,Competitive Industrial Performance Index,competitive_industrial_performance,tc,1990,2014,1990,2015,True,False,Not updated (end date only)
78,Travel & Tourism Competitiveness Index,travel_tourism_competitiveness,tc,2015,2017,2015,2017,True,True,Updated. No action required.
64,Temporary Trade Barriers Database,temporary_trade_barriers,tc,1990,2013,1980,2015,False,False,Not updated (both start and end dates)
428,Global Integrity Index,Global_Integrity,gv,2004,2011,2004,2011,True,True,Updated. No action required.
435,Doing Business,DB,both,2004,2016,2004,2016,True,True,Updated. No action required.
511,Networked Readiness index,"Networked Readiness Index, World Economic Forum",tc,2015,2015,2001,2016,False,False,Not updated (both start and end dates)
589,Ibrahim Index of African Governance,IIAG,gv,2000,2015,2000,2015,True,True,Updated. No action required.
57,I-TIP Services,itip_services,tc,2016,2016,2009/2011/2014 (varies),2016,False,True,Not updated (start date only)
68,OECD Product Market Regulation Database,product_market_regulation,tc,1998,2013,1998,2013,True,True,Updated. No action required.
88,Quality of Govt,QOG,gv,2012,2015,2008,2012,False,True,[Gov dataset - For Luis' action] Not updated (start date only)
73,Measuring Export Competitiveness,measuring_export_competitiveness,tc,2006,2014,2006,2016,True,False,Not updated (end date only)
80,Environmental Performance Index,environmental_performance_index,tc,2014,2014,2006,2016,False,False,Not updated (both start and end dates)
495,Inter-Parliamentary Union,IPU,gv,2016,2016,1997,2017,False,False,[Gov dataset - For Luis' action] Not updated (both start and end dates)
145,Public Accountability Mechanisms Income and Disclosure,PAM_IAD,gv,2008,2008,1987,2016,False,False,[Gov dataset - For Luis' action] Not updated (both start and end dates)
146,Public Accountability Mechanisms Freedom of Information,PAM,gv,2010,2010,1987,2016,False,False,[Gov dataset - For Luis' action] Not updated (both start and end dates)
429,Global Indicators of Regulatory Governance,Global_Indicators,gv,2016,2016,2015,2016,False,True,[Gov dataset - For Luis' action] Not updated (start date only)
98,Fiscal Rules Dataset,FAD_FR,gv,1987,2014,1985,2015,False,False,[Gov dataset - For Luis' action] Not updated (both start and end dates)
102,Country Policy and Institutional Assessments,CPIA,both,2005,2016,2005,2016,True,True,Updated. No action required.
505,Bertelsmann Transformation Index,BTI,both,2006,2016,2006,2016,True,True,Updated. No action required.
510,UPU,UPU,tc,2005,2015,1980,2015,False,True,Not updated (start date only)
55,World Integrated Trade Solution,wits,tc,1988,2015,1988,2015,True,True,Updated. No action required.
60,Timely Indicators of Entrepreneurship,timely_indicators_of_entrepreneurship,tc,2011,2016,2007,2017,False,False,Not updated (both start and end dates)
72,World Economic Outlook,world_economic_outlook,tc,1980,2022,1980,2018 (projection),True,True,Updated. No action required.
509,WB: Financial Inclusion Index (Findex),"Global Findex 2014, World Bank",tc,2014,2014,2011,2014,False,True,Not updated (start date only)
82,World Justice Project,WJP,gv,2013,2016,2012,2016,False,True,[Gov dataset - For Luis' action] Not updated (start date only)
87,Statistical Capacity,SC,gv,2004,2016,2004,2016,True,True,Updated. No action required.
92,IBP Open Budget Index,IBP,gv,2006,2015,2006,2017,True,False,[Gov dataset - For Luis' action] Not updated (end date only)
97,Failed States Index,FSI,gv,2006,2014,2006,2017,True,False,[Gov dataset - For Luis' action] Not updated (end date only)
56,World Development Indicators,world_development_indicators,tc,1960,2016,1960,2016,True,True,Updated. No action required.
485,Worldwide Governance Indicators,WGI,both,1996,2015,1996,2015,True,True,Updated. No action required.
61,Services Trade Restrictiveness Index,stri,tc,2014,2016,2014,2016,True,True,Updated. No action required.
84,"Women, Business and the Law",WBL,both,2010,2016,2010,2016,True,True,Updated. No action required.
89,Polity IV,PIV,gv,1987,2015,1800,2015,False,True,[Gov dataset - For Luis' action] Not updated (start date only)
69,World Input Output Database,wiod,tc,1995,2011,1995,2014,True,False,Not updated (end date only)
74,Direction of Trade,direction_of_trade,tc,1950,2016,1948,2016,False,True,Not updated (start date only)
79,World Travel & Tourism Council,world_travel_tourism_council,tc,1995,2027,2006,2016,True,True,Updated. No action required.
430,Global Competitiveness Index,GCI,both,2006,2015,2007,2016,True,False,Not updated (end date only)
508,ITU Database,ITU Database,tc,2010,2015,2000,2016,False,False,Not updated (both start and end dates)
54,Heritage Index of Economic Freedom,heritage_index_of_economic_freedom,tc,2013,2016,2013,2016,True,True,Updated. No action required.
59,Global Entrepreneurship Monitor Adult Population Survey,adult_population_survey,tc,2001,2016,2001,2016,True,True,Updated. No action required.
65,WEF: Global Information Technology Report,global_information_technology_report,tc,2012,2016,2001,2016,False,True,Not updated (start date only)
70,Entrepreneurship at a Glance,entrepreneurship_at_a_glance,tc,2011,2012,2010,2016,False,False,Not updated (both start and end dates)
75,Trade in Value Added,tiva,tc,1995,2011,1995,2011,True,True,Updated. No action required.
81,Sustainable Energy For All,sustainable_energy_for_all,tc,1990,2012,1990,2010,True,True,Updated. No action required.
85,Corruption Perceptions Index,TI,gv,2013,2014,1995,2016,False,False,[Gov dataset - For Luis' action] Not updated (both start and end dates)
86,Sustainable Governance Indicators,SGI,gv,2014,2016,2005,2015,False,True,[Gov dataset - For Luis' action] Not updated (start date only)
99,Enterprise Surveys,ES,both,2002,2016,2005,2014,True,True,Updated. No action required.
